cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
57403250,201.616996765137,2.4311,14,6,3,0,0,0,2,0.166666666666667,12,1,0,56.4251,21,1,0,0,1,0,0,5,1,0,0,20,0,0,0,0,107.25,9.19550885713725,0.396904532734386,22.1680620873409,13,6.45333333333333,86,84
57475672,173.121996045113,2.1063,9,4,1,0,0,0,0,0.166666666666667,12,1,0,40.2913,17,2,0,0,0,0,2,3,1,0,0,17,0,0,0,0,68.87,8.29561712360323,1.0110452499342,7.20499094787607,10.0833333333333,4.296875,81,83
57734162,193.209997057915,2.886,17,6,2,0,0,0,2,0.142857142857143,14,1,0,62.5081,25,0,0,0,0,0,0,5,1,0,0,25,0,0,0,0,107.25,10.2648788306793,1.00350048158519,9.22907215197773,12.0714285714286,5.18559556786704,117,108
58292567,202.01099729538,1.7127,8,4,1,0,0,0,0,0.1,10,1,0,41.8663,14,1,0,1,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.84088718842935,1.00792742851157,6.77921799390674,8.1,3.40828402366864,64,66
58832471,137.141997694969,0.0152,10,3,1,0,0,0,0,0.2,10,1,0,42.9893,17,0,0,0,0,0,0,3,1,0,0,17,0,0,0,0,59.46,8.11406977366691,1.02879660375808,6.88695233248933,8.1,4,79,78
59693814,412.165993094444,8.9636,36,4,1,0,0,0,0,0.5,22,1,0,122.8135,53,0,0,0,0,0,0,3,1,0,0,53,0,0,0,0,68.87,12.1281654828451,0.999996521590792,11.1282076697143,20.0454545454545,10.7142857142857,271,267
60716862,167.167997002602,2.2139,14,5,1,1,0,0,0,0.25,12,1,0,50.4979,21,0,0,0,0,0,0,3,2,0,0,21,0,0,0,0,64.11,8.19669147519832,1.01935572609492,7.04105109273218,10.0833333333333,4.88888888888889,99,89
60717131,167.167997002602,2.236,14,5,1,1,0,0,0,0.333333333333333,12,1,0,50.3389,21,0,0,0,0,0,0,3,2,0,0,21,0,0,0,0,64.11,6.79278739789853,1.01911201356538,5.66539821676115,10.0833333333333,5.61224489795918,99,93
62200110,179.203998684883,1.7733,10,5,0,0,0,0,0,0.166666666666667,12,1,0,51.6395,17,0,0,0,0,0,0,3,1,0,1,17,0,0,0,0,87.3,9.76496862138522,1.08372456522961,8.01056314001361,10.0833333333333,4.88888888888889,79,78
62200111,165.176998972893,1.0886,8,5,0,0,0,0,0,0.181818181818182,11,1,0,44.5595,14,0,0,0,0,0,0,3,1,0,1,14,0,0,0,0,87.3,8.7281852371142,1.0839734833639,7.05202836699288,9.09090909090909,4.79289940828402,63,66
